"","del","si1","si2","alpha","dim"
"1",0,1,1,0.05,271
"2",0.05,1,1,0.05,371
"3",0.1,1,1,0.05,704
"4",0.15,1,1,0.05,1044
"5",0.2,1,1,0.05,1212
"6",0.25,1,1,0.05,1229
"7",0.3,1,1,0.05,1230
"8",0.35,1,1,0.05,1230
"9",0.4,1,1,0.05,1230
"10",0.45,1,1,0.05,1230
"11",0.5,1,1,0.05,1230
"12",0.55,1,1,0.05,1230
"13",0.6,1,1,0.05,1230
"14",0.65,1,1,0.05,1230
"15",0.7,1,1,0.05,1230
"16",0.75,1,1,0.05,1230
"17",0.8,1,1,0.05,1230
"18",0.85,1,1,0.05,1230
"19",0.9,1,1,0.05,1230
"20",0.95,1,1,0.05,1230
"21",1,1,1,0.05,1230
"22",0,1.5,1,0.05,1230
"23",0.05,1.5,1,0.05,1230
"24",0.1,1.5,1,0.05,1230
"25",0.15,1.5,1,0.05,1230
"26",0.2,1.5,1,0.05,1230
"27",0.25,1.5,1,0.05,1230
"28",0.3,1.5,1,0.05,1230
"29",0.35,1.5,1,0.05,1230
"30",0.4,1.5,1,0.05,1230
"31",0.45,1.5,1,0.05,1230
"32",0.5,1.5,1,0.05,1230
"33",0.55,1.5,1,0.05,1230
"34",0.6,1.5,1,0.05,1230
"35",0.65,1.5,1,0.05,1230
"36",0.7,1.5,1,0.05,1230
"37",0.75,1.5,1,0.05,1230
"38",0.8,1.5,1,0.05,1230
"39",0.85,1.5,1,0.05,1230
"40",0.9,1.5,1,0.05,1230
"41",0.95,1.5,1,0.05,1230
"42",1,1.5,1,0.05,1230
"43",0,2,1,0.05,1230
"44",0.05,2,1,0.05,1230
"45",0.1,2,1,0.05,1230
"46",0.15,2,1,0.05,1230
"47",0.2,2,1,0.05,1230
"48",0.25,2,1,0.05,1230
"49",0.3,2,1,0.05,1230
"50",0.35,2,1,0.05,1230
"51",0.4,2,1,0.05,1230
"52",0.45,2,1,0.05,1230
"53",0.5,2,1,0.05,1230
"54",0.55,2,1,0.05,1230
"55",0.6,2,1,0.05,1230
"56",0.65,2,1,0.05,1230
"57",0.7,2,1,0.05,1230
"58",0.75,2,1,0.05,1230
"59",0.8,2,1,0.05,1230
"60",0.85,2,1,0.05,1230
"61",0.9,2,1,0.05,1230
"62",0.95,2,1,0.05,1230
"63",1,2,1,0.05,1230
"64",0,1,1.5,0.05,1230
"65",0.05,1,1.5,0.05,1230
"66",0.1,1,1.5,0.05,1230
"67",0.15,1,1.5,0.05,1230
"68",0.2,1,1.5,0.05,1230
"69",0.25,1,1.5,0.05,1230
"70",0.3,1,1.5,0.05,1230
"71",0.35,1,1.5,0.05,1230
"72",0.4,1,1.5,0.05,1230
"73",0.45,1,1.5,0.05,1230
"74",0.5,1,1.5,0.05,1230
"75",0.55,1,1.5,0.05,1230
"76",0.6,1,1.5,0.05,1230
"77",0.65,1,1.5,0.05,1230
"78",0.7,1,1.5,0.05,1230
"79",0.75,1,1.5,0.05,1230
"80",0.8,1,1.5,0.05,1230
"81",0.85,1,1.5,0.05,1230
"82",0.9,1,1.5,0.05,1230
"83",0.95,1,1.5,0.05,1230
"84",1,1,1.5,0.05,1230
"85",0,1.5,1.5,0.05,271
"86",0.05,1.5,1.5,0.05,317
"87",0.1,1.5,1.5,0.05,457
"88",0.15,1.5,1.5,0.05,704
"89",0.2,1.5,1.5,0.05,948
"90",0.25,1.5,1.5,0.05,1130
"91",0.3,1.5,1.5,0.05,1212
"92",0.35,1.5,1.5,0.05,1228
"93",0.4,1.5,1.5,0.05,1230
"94",0.45,1.5,1.5,0.05,1230
"95",0.5,1.5,1.5,0.05,1230
"96",0.55,1.5,1.5,0.05,1230
"97",0.6,1.5,1.5,0.05,1230
"98",0.65,1.5,1.5,0.05,1230
"99",0.7,1.5,1.5,0.05,1230
"100",0.75,1.5,1.5,0.05,1230
"101",0.8,1.5,1.5,0.05,1230
"102",0.85,1.5,1.5,0.05,1230
"103",0.9,1.5,1.5,0.05,1230
"104",0.95,1.5,1.5,0.05,1230
"105",1,1.5,1.5,0.05,1230
"106",0,2,1.5,0.05,1227
"107",0.05,2,1.5,0.05,1230
"108",0.1,2,1.5,0.05,1229
"109",0.15,2,1.5,0.05,1230
"110",0.2,2,1.5,0.05,1230
"111",0.25,2,1.5,0.05,1230
"112",0.3,2,1.5,0.05,1230
"113",0.35,2,1.5,0.05,1230
"114",0.4,2,1.5,0.05,1230
"115",0.45,2,1.5,0.05,1230
"116",0.5,2,1.5,0.05,1230
"117",0.55,2,1.5,0.05,1230
"118",0.6,2,1.5,0.05,1230
"119",0.65,2,1.5,0.05,1230
"120",0.7,2,1.5,0.05,1230
"121",0.75,2,1.5,0.05,1230
"122",0.8,2,1.5,0.05,1230
"123",0.85,2,1.5,0.05,1230
"124",0.9,2,1.5,0.05,1230
"125",0.95,2,1.5,0.05,1230
"126",1,2,1.5,0.05,1230
"127",0,1,2,0.05,1230
"128",0.05,1,2,0.05,1230
"129",0.1,1,2,0.05,1230
"130",0.15,1,2,0.05,1230
"131",0.2,1,2,0.05,1230
"132",0.25,1,2,0.05,1230
"133",0.3,1,2,0.05,1230
"134",0.35,1,2,0.05,1230
"135",0.4,1,2,0.05,1230
"136",0.45,1,2,0.05,1230
"137",0.5,1,2,0.05,1230
"138",0.55,1,2,0.05,1230
"139",0.6,1,2,0.05,1230
"140",0.65,1,2,0.05,1230
"141",0.7,1,2,0.05,1230
"142",0.75,1,2,0.05,1230
"143",0.8,1,2,0.05,1230
"144",0.85,1,2,0.05,1230
"145",0.9,1,2,0.05,1230
"146",0.95,1,2,0.05,1230
"147",1,1,2,0.05,1230
"148",0,1.5,2,0.05,1230
"149",0.05,1.5,2,0.05,1229
"150",0.1,1.5,2,0.05,1229
"151",0.15,1.5,2,0.05,1229
"152",0.2,1.5,2,0.05,1229
"153",0.25,1.5,2,0.05,1230
"154",0.3,1.5,2,0.05,1230
"155",0.35,1.5,2,0.05,1230
"156",0.4,1.5,2,0.05,1230
"157",0.45,1.5,2,0.05,1230
"158",0.5,1.5,2,0.05,1230
"159",0.55,1.5,2,0.05,1230
"160",0.6,1.5,2,0.05,1230
"161",0.65,1.5,2,0.05,1230
"162",0.7,1.5,2,0.05,1230
"163",0.75,1.5,2,0.05,1230
"164",0.8,1.5,2,0.05,1230
"165",0.85,1.5,2,0.05,1230
"166",0.9,1.5,2,0.05,1230
"167",0.95,1.5,2,0.05,1230
"168",1,1.5,2,0.05,1230
"169",0,2,2,0.05,271
"170",0.05,2,2,0.05,299
"171",0.1,2,2,0.05,371
"172",0.15,2,2,0.05,557
"173",0.2,2,2,0.05,704
"174",0.25,2,2,0.05,876
"175",0.3,2,2,0.05,1044
"176",0.35,2,2,0.05,1166
"177",0.4,2,2,0.05,1212
"178",0.45,2,2,0.05,1224
"179",0.5,2,2,0.05,1229
"180",0.55,2,2,0.05,1230
"181",0.6,2,2,0.05,1230
"182",0.65,2,2,0.05,1230
"183",0.7,2,2,0.05,1230
"184",0.75,2,2,0.05,1230
"185",0.8,2,2,0.05,1230
"186",0.85,2,2,0.05,1230
"187",0.9,2,2,0.05,1230
"188",0.95,2,2,0.05,1230
"189",1,2,2,0.05,1230
"190",0,1,1,0.01,59
"191",0.05,1,1,0.01,88
"192",0.1,1,1,0.01,277
"193",0.15,1,1,0.01,639
"194",0.2,1,1,0.01,940
"195",0.25,1,1,0.01,1031
"196",0.3,1,1,0.01,1040
"197",0.35,1,1,0.01,1040
"198",0.4,1,1,0.01,1040
"199",0.45,1,1,0.01,1040
"200",0.5,1,1,0.01,1040
"201",0.55,1,1,0.01,1040
"202",0.6,1,1,0.01,1040
"203",0.65,1,1,0.01,1040
"204",0.7,1,1,0.01,1040
"205",0.75,1,1,0.01,1040
"206",0.8,1,1,0.01,1040
"207",0.85,1,1,0.01,1040
"208",0.9,1,1,0.01,1040
"209",0.95,1,1,0.01,1040
"210",1,1,1,0.01,1040
"211",0,1.5,1,0.01,1040
"212",0.05,1.5,1,0.01,1040
"213",0.1,1.5,1,0.01,1040
"214",0.15,1.5,1,0.01,1040
"215",0.2,1.5,1,0.01,1040
"216",0.25,1.5,1,0.01,1040
"217",0.3,1.5,1,0.01,1040
"218",0.35,1.5,1,0.01,1040
"219",0.4,1.5,1,0.01,1040
"220",0.45,1.5,1,0.01,1040
"221",0.5,1.5,1,0.01,1040
"222",0.55,1.5,1,0.01,1040
"223",0.6,1.5,1,0.01,1040
"224",0.65,1.5,1,0.01,1040
"225",0.7,1.5,1,0.01,1040
"226",0.75,1.5,1,0.01,1040
"227",0.8,1.5,1,0.01,1040
"228",0.85,1.5,1,0.01,1040
"229",0.9,1.5,1,0.01,1040
"230",0.95,1.5,1,0.01,1040
"231",1,1.5,1,0.01,1040
"232",0,2,1,0.01,1040
"233",0.05,2,1,0.01,1040
"234",0.1,2,1,0.01,1040
"235",0.15,2,1,0.01,1040
"236",0.2,2,1,0.01,1040
"237",0.25,2,1,0.01,1040
"238",0.3,2,1,0.01,1040
"239",0.35,2,1,0.01,1040
"240",0.4,2,1,0.01,1040
"241",0.45,2,1,0.01,1040
"242",0.5,2,1,0.01,1040
"243",0.55,2,1,0.01,1040
"244",0.6,2,1,0.01,1040
"245",0.65,2,1,0.01,1040
"246",0.7,2,1,0.01,1040
"247",0.75,2,1,0.01,1040
"248",0.8,2,1,0.01,1040
"249",0.85,2,1,0.01,1040
"250",0.9,2,1,0.01,1040
"251",0.95,2,1,0.01,1040
"252",1,2,1,0.01,1040
"253",0,1,1.5,0.01,1040
"254",0.05,1,1.5,0.01,1040
"255",0.1,1,1.5,0.01,1040
"256",0.15,1,1.5,0.01,1040
"257",0.2,1,1.5,0.01,1040
"258",0.25,1,1.5,0.01,1040
"259",0.3,1,1.5,0.01,1040
"260",0.35,1,1.5,0.01,1040
"261",0.4,1,1.5,0.01,1040
"262",0.45,1,1.5,0.01,1040
"263",0.5,1,1.5,0.01,1040
"264",0.55,1,1.5,0.01,1040
"265",0.6,1,1.5,0.01,1040
"266",0.65,1,1.5,0.01,1040
"267",0.7,1,1.5,0.01,1040
"268",0.75,1,1.5,0.01,1040
"269",0.8,1,1.5,0.01,1040
"270",0.85,1,1.5,0.01,1040
"271",0.9,1,1.5,0.01,1040
"272",0.95,1,1.5,0.01,1040
"273",1,1,1.5,0.01,1040
"274",0,1.5,1.5,0.01,59
"275",0.05,1.5,1.5,0.01,60
"276",0.1,1.5,1.5,0.01,122
"277",0.15,1.5,1.5,0.01,277
"278",0.2,1.5,1.5,0.01,511
"279",0.25,1.5,1.5,0.01,760
"280",0.3,1.5,1.5,0.01,940
"281",0.35,1.5,1.5,0.01,1018
"282",0.4,1.5,1.5,0.01,1037
"283",0.45,1.5,1.5,0.01,1040
"284",0.5,1.5,1.5,0.01,1040
"285",0.55,1.5,1.5,0.01,1040
"286",0.6,1.5,1.5,0.01,1040
"287",0.65,1.5,1.5,0.01,1040
"288",0.7,1.5,1.5,0.01,1040
"289",0.75,1.5,1.5,0.01,1040
"290",0.8,1.5,1.5,0.01,1040
"291",0.85,1.5,1.5,0.01,1040
"292",0.9,1.5,1.5,0.01,1040
"293",0.95,1.5,1.5,0.01,1040
"294",1,1.5,1.5,0.01,1040
"295",0,2,1.5,0.01,983
"296",0.05,2,1.5,0.01,984
"297",0.1,2,1.5,0.01,1007
"298",0.15,2,1.5,0.01,1031
"299",0.2,2,1.5,0.01,1038
"300",0.25,2,1.5,0.01,1039
"301",0.3,2,1.5,0.01,1040
"302",0.35,2,1.5,0.01,1040
"303",0.4,2,1.5,0.01,1040
"304",0.45,2,1.5,0.01,1040
"305",0.5,2,1.5,0.01,1040
"306",0.55,2,1.5,0.01,1040
"307",0.6,2,1.5,0.01,1040
"308",0.65,2,1.5,0.01,1040
"309",0.7,2,1.5,0.01,1040
"310",0.75,2,1.5,0.01,1040
"311",0.8,2,1.5,0.01,1040
"312",0.85,2,1.5,0.01,1040
"313",0.9,2,1.5,0.01,1040
"314",0.95,2,1.5,0.01,1040
"315",1,2,1.5,0.01,1040
"316",0,1,2,0.01,1040
"317",0.05,1,2,0.01,1040
"318",0.1,1,2,0.01,1040
"319",0.15,1,2,0.01,1040
"320",0.2,1,2,0.01,1040
"321",0.25,1,2,0.01,1040
"322",0.3,1,2,0.01,1040
"323",0.35,1,2,0.01,1040
"324",0.4,1,2,0.01,1040
"325",0.45,1,2,0.01,1040
"326",0.5,1,2,0.01,1040
"327",0.55,1,2,0.01,1040
"328",0.6,1,2,0.01,1040
"329",0.65,1,2,0.01,1040
"330",0.7,1,2,0.01,1040
"331",0.75,1,2,0.01,1040
"332",0.8,1,2,0.01,1040
"333",0.85,1,2,0.01,1040
"334",0.9,1,2,0.01,1040
"335",0.95,1,2,0.01,1040
"336",1,1,2,0.01,1040
"337",0,1.5,2,0.01,978
"338",0.05,1.5,2,0.01,981
"339",0.1,1.5,2,0.01,1001
"340",0.15,1.5,2,0.01,1021
"341",0.2,1.5,2,0.01,1033
"342",0.25,1.5,2,0.01,1037
"343",0.3,1.5,2,0.01,1040
"344",0.35,1.5,2,0.01,1040
"345",0.4,1.5,2,0.01,1040
"346",0.45,1.5,2,0.01,1040
"347",0.5,1.5,2,0.01,1040
"348",0.55,1.5,2,0.01,1040
"349",0.6,1.5,2,0.01,1040
"350",0.65,1.5,2,0.01,1040
"351",0.7,1.5,2,0.01,1040
"352",0.75,1.5,2,0.01,1040
"353",0.8,1.5,2,0.01,1040
"354",0.85,1.5,2,0.01,1040
